problem	trajectory_id	started	ended	model	steps	cached_tokens	input_tokens	output_tokens	cost_usd	solved
putnam_1962_a1	0c979e59-e322-46fb-a7e0-df30bc7ce15c	2026-08-07T19:34:01	2026-08-07T20:07:34	deepseek-v4-flash	99	5760975	105635	190799	0.0843	1
putnam_1962_a2	4298a226-9ef9-4a85-9c97-ab2affa510cc	2026-08-07T19:34:05	2026-08-07T20:30:49	deepseek-v4-flash	120	9714521	153737	275925	0.126	1
putnam_1962_a3	fe05a3d5-3024-4eef-afa4-fc4c21a2b57c	2026-08-07T19:34:08	2026-08-07T21:05:05	deepseek-v4-flash	260	24427866	175058	273221	0.1694	1
putnam_1962_a4	4d865794-caa2-41ab-9ed7-27cdcd37ac3e	2026-08-07T20:07:46	2026-08-07T20:27:10	deepseek-v4-flash	63	2107826	64545	93173	0.041	1
putnam_1962_a5	831c1114-5519-407f-8aa8-d543e6042713	2026-08-07T20:27:40	2026-08-07T20:33:22	deepseek-v4-flash	24	278090	23303	31971	0.013	1
putnam_1962_a6	897101a5-d649-4477-8f2e-24c00eb22aaa	2026-08-07T20:31:10	2026-08-07T20:34:37	deepseek-v4-flash	8	33958	9343	19916	0.007	1
putnam_1962_b1	332cb7fd-f773-4b51-af6a-757c146d8a71	2026-08-07T20:33:28	2026-08-07T20:38:45	deepseek-v4-flash	32	417345	25261	30489	0.0132	1
putnam_1962_b2	50d5992a-0c00-4ce7-bf56-8bdf01a03076	2026-08-07T20:34:44	2026-08-07T20:36:54	deepseek-v4-flash	8	25673	6024	10461	0.0038	1
putnam_1962_b3	13e40949-e80a-498e-856a-10dab988c7f4	2026-08-07T20:37:01	2026-08-07T20:45:29	deepseek-v4-flash	19	227747	26896	47966	0.0178	1
putnam_1962_b5	f4785ed8-7f36-4ae8-a776-093f1d00376c	2026-08-07T20:38:52	2026-08-07T21:14:34	deepseek-v4-flash	67	2677423	71818	187370	0.07	1
putnam_1962_b6	f42b6037-5d2f-4464-8022-e27129ab0632	2026-08-07T20:45:42	2026-08-07T22:35:16	deepseek-v4-flash	299	38410567	240397	492571	0.2791	1
putnam_1963_a2	d27bce99-0903-4d4c-ae18-51b8d7021efa	2026-08-07T21:05:34	2026-08-07T21:13:26	deepseek-v4-flash	2	1779	2035	49951	0.0143	0
putnam_1963_a2	4ca8942a-5cc5-45bb-a907-5174869db18a	2026-08-07T21:49:23	2026-08-07T22:12:10	deepseek-v4-flash	24	517127	36398	116895	0.0393	1
putnam_1963_a3	5b8f5082-6e42-4917-8589-c9b64ea93371	2026-08-07T21:13:27	2026-08-07T22:37:59	deepseek-v4-flash	268	30498618	210513	389722	0.224	1
putnam_1963_a4	fd6f8990-339b-4f10-8c4b-85ad9f738993	2026-08-07T21:14:48	2026-08-07T21:27:11	deepseek-v4-flash	24	531763	43448	75497	0.0287	1
putnam_1963_a6	15710a01-d514-43f4-9a44-c45f6c36beb0	2026-08-07T21:27:21	2026-08-07T21:35:09	deepseek-v4-flash	2	1778	2192	57696	0.0165	0
putnam_1963_a6	74ce65a7-12dc-4e64-abdb-4625d9c84c78	2026-08-07T22:12:37	2026-08-07T23:05:22	deepseek-v4-flash	109	6552411	122730	239205	0.1025	1
putnam_1963_b1	180f7427-0dc9-4daf-91bc-e004051430c2	2026-08-07T21:35:09	2026-08-07T21:41:46	deepseek-v4-flash	17	110081	14035	40434	0.0136	1
putnam_1963_b2	9a5a62c0-29a4-4d37-97a6-255d1c3dbed7	2026-08-07T21:41:54	2026-08-07T21:48:38	deepseek-v4-flash	31	465649	31316	41621	0.0173	1
putnam_1963_b3	65a5e68c-74f1-4240-b2b4-73c02c77bea4	2026-08-07T22:35:48	2026-08-07T22:56:02	deepseek-v4-flash	49	1394186	59762	120793	0.0461	1
putnam_1963_b5	926eefa5-e60c-40cc-a6ea-756d7fd0dac9	2026-08-07T22:38:28	2026-08-07T22:48:44	deepseek-v4-flash	33	523188	25158	47504	0.0183	1
putnam_1963_b6	1a3a6919-2fae-4a85-9048-d7be98605525	2026-08-07T22:48:53	2026-08-07T23:05:50	deepseek-v4-flash	39	1177843	54841	94553	0.0375	1
putnam_1964_a1	cff300a2-e052-445a-ab4f-98bfbf78cb71	2026-08-07T22:56:15	2026-08-08T00:04:57	deepseek-v4-flash	109	6398422	117339	327866	0.1261	1
putnam_1964_a2	825a1604-a69b-4ec2-b705-ad1fb19f04eb	2026-08-07T23:05:47	2026-08-07T23:13:39	deepseek-v4-flash	36	497169	26088	48466	0.0186	1
putnam_1964_a3	bea20799-373a-415a-8494-cbbcbcd82c5c	2026-08-07T23:06:01	2026-08-08T00:34:05	deepseek-v4-flash	59	2214712	67828	148953	0.0574	1
putnam_1964_a4	671d52e1-7917-4085-9045-e77f55948266	2026-08-07T23:13:48	2026-08-07T23:19:56	deepseek-v4-flash	14	89065	12857	32317	0.0111	1
putnam_1964_a5	a1bd2cf5-43a8-460f-8c82-fcbbfa8e2f60	2026-08-07T23:20:04	2026-08-07T23:46:04	deepseek-v4-flash	82	2465335	61893	138550	0.0544	1
putnam_1964_a6	dd83afcf-f6ce-4600-92d9-b14a1e5337e5	2026-08-07T23:46:11	2026-08-08T01:17:11	deepseek-v4-flash	75	2548726	68896	570336	0.1765	0
putnam_1964_a6	cf586643-409c-4fd3-8c68-98b570371006	2026-08-12T04:07:54	2026-08-12T07:25:35	deepseek-v4-flash	162	10437267	213418	1100222	0.3672	1
putnam_1964_a6	7881a42a-db38-4382-a33d-7801dbfcc997	2026-08-12T21:53:54	2026-08-13T13:00:53	deepseek-v4-pro	1821	307548345	1160483	1653241	3.058	1
